name,path,owner,purpose,inputs,outputs,side_effects,dependencies,last_modified,test_coverage,repro_steps,acceptance_tests,known_limitations,checksum
backtest_engine_quant_v1.py,scripts/analytics/backtest_engine_quant_v1.py,,Script backtest_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,a907743ca240bdc57ba2ad15763cf936edb3966432aff511b939d284c8268b9b
build_attribution_quant_v2.py,scripts/analytics/build_attribution_quant_v2.py,,Script build_attribution_quant_v2.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,58a179b877100aafa15763f5e1cd09edda04461efaf5495252ece655f1c46a00
build_combined_analytics.py,scripts/analytics/build_combined_analytics.py,,Script build_combined_analytics.py — purpose to be filled by owner,,,,,2026-01-29,unit: no; integration: no,,,,809d36b1bf8f2de2823c1e600f8c1c70b37ad8ae4ebdb664f6cf376f637a8048
build_factor_exposure_report_quant_v1.py,scripts/analytics/build_factor_exposure_report_quant_v1.py,,Script build_factor_exposure_report_quant_v1.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,e082755ccd018e791cf5c65b6203bd6c375ffb2c6c0c317358bc51994394b7c0
build_performance_quant_v2.py,scripts/analytics/build_performance_quant_v2.py,,Script build_performance_quant_v2.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,5e2e850a391ed60a761a250881976ad7c7fa4ed46469246c06c214513f0fe41c
build_portfolio_performance_quant_v1.py,scripts/analytics/build_portfolio_performance_quant_v1.py,,Script build_portfolio_performance_quant_v1.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,de5a2209d778eebd63d2d36f85e268861e9862b07a87761aeb3ebcd45ce01243
build_portfolio_quant_v2_from_positions.py,scripts/analytics/build_portfolio_quant_v2_from_positions.py,,Script build_portfolio_quant_v2_from_positions.py — purpose to be filled by owner,,,,,2026-02-01,unit: no; integration: no,,,,614d47739c202168bc1c9839eeb12dc8b76596650c79bd485e78313f52fe46f4
build_strategy_returns_from_attr.py,scripts/analytics/build_strategy_returns_from_attr.py,,Script build_strategy_returns_from_attr.py — purpose to be filled by owner,,,,,2026-02-02,unit: no; integration: no,,,,13ec8b99bed3a01053be57979b3c1be445295429139a3007ca547e7a3e396b9e
build_strategy_returns_full.py,scripts/analytics/build_strategy_returns_full.py,,Script build_strategy_returns_full.py — purpose to be filled by owner,,,,,2026-02-02,unit: no; integration: no,,,,8e2bc0d10b959647987704995deb5be4a2c3072eb16f60436fad1606e18763e9
build_turnover_regime_quant_v1.py,scripts/analytics/build_turnover_regime_quant_v1.py,,Script build_turnover_regime_quant_v1.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,5cea1046c5432d6e7cd51f6b17d60b2c1ed530c6d5ef5acd9e684a054abc5c19
composite_signal_quant_v1.py,scripts/analytics/composite_signal_quant_v1.py,,Script composite_signal_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,5e0a84f221495f244cb62f6eecf636cc7510edf9dd7dfa82149e72c41d83d365
ensemble_portfolio_quant_v1.py,scripts/analytics/ensemble_portfolio_quant_v1.py,,Script ensemble_portfolio_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,82c3be3108ec379b239423ae99deb9572ae36154b657fd6e548963f8e90f8c5c
ensemble_signal_quant_v1.py,scripts/analytics/ensemble_signal_quant_v1.py,,Script ensemble_signal_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,e01aebc775beb346bf2df966ed6be5cd9d9e1557e49379e622263e456a9d7188
expected_return_ingestion_quant_v1.py,scripts/analytics/expected_return_ingestion_quant_v1.py,,Script expected_return_ingestion_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,33e1f340ba449e4feff2560fc07e0b0a0fdb7f223713d945360d41b0e94de46b
factor_engine_quant_v1.py,scripts/analytics/factor_engine_quant_v1.py,,Script factor_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,baea88fc381937671cf92b50de94d61cb38e363da98fceab0e9f08bf8e664fec
factor_exposure_report_quant_v1.py,scripts/analytics/factor_exposure_report_quant_v1.py,,Script factor_exposure_report_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,56374d339a348f7e419209b4bed84a6ec2992ebb61a85b5b62940481bfd0d88d
factor_neutrality_engine_quant_v1.py,scripts/analytics/factor_neutrality_engine_quant_v1.py,,Script factor_neutrality_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,476aff9fdde3f2e5d4b6dfc7afcff817ff46cab2281005fef106c6e90baba0f8
factor_returns_quant_v1.py,scripts/analytics/factor_returns_quant_v1.py,,Script factor_returns_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,a4c3d9fbdd7dfbeb3a85ad627b26e18158f7da21383f496b5b5600c73e98803d
fix_strategy_returns_cum.py,scripts/analytics/fix_strategy_returns_cum.py,,Script fix_strategy_returns_cum.py — purpose to be filled by owner,,,,,2026-02-02,unit: no; integration: no,,,,760f4fc5b46abb9d3d031cf0bafedcf3e25149f2c15452e82fecf4f5627b4be4
generate_verification_report.py,scripts/analytics/generate_verification_report.py,,Script generate_verification_report.py — purpose to be filled by owner,,,,,2026-02-02,unit: no; integration: no,,,,f894bf2e9591358ebe6215a52d0f680545b8106e058cd15542c0a00355a51db0
internal_factor_exposure_engine_quant_v1.py,scripts/analytics/internal_factor_exposure_engine_quant_v1.py,,Script internal_factor_exposure_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,023d2c38aae16490b4a4d36ce6793e99883571a3e0adb4dfb19421fd9c5c4411
liquidity_cost_model_quant_v1.py,scripts/analytics/liquidity_cost_model_quant_v1.py,,Script liquidity_cost_model_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,021eea88987701bc51ecc35bed8911063dc38bf1896a26af7c9814456b80e4b5
