date,impact_on_final_nav
2025-06-25,-0.02454026580744243
2021-09-08,-0.024319744728601215
2025-06-05,-0.023697998483706535
2021-09-14,-0.02342108682764775
2024-05-13,-0.02293812184127097
2023-11-21,-0.02186229230250594
2024-01-11,-0.021802244277634
2023-08-03,-0.02178450426569071
2021-03-31,-0.02153426573442614
2024-06-03,-0.02025788385740841
2023-12-06,-0.020231760272110124
2022-07-08,-0.019907928610783648
2021-02-10,-0.0194513876824832
2025-05-23,-0.019375863190414625
2024-04-16,-0.019139525784179875
2025-03-20,-0.019051835849395387
2024-05-22,-0.018276323113697392
2022-03-03,-0.01816297464459958
2023-04-19,-0.017794466177848214
2023-06-26,-0.01761277902527171
2021-06-14,-0.017440850060664495
2025-02-03,-0.01707529688794889
2021-07-26,-0.016635349893176152
2023-08-22,-0.016214820000006326
2024-01-26,-0.01598562836532133
2024-01-12,-0.015557631972466469
2025-09-16,-0.014905593370370049
2024-02-23,-0.014814098911854017
2023-03-27,-0.014677749418689434
2025-02-19,-0.014317186654713307
2025-07-28,-0.01391539268731029
2024-01-23,-0.013716602582847463
2023-07-21,-0.0130946929121784
2024-09-18,-0.012456161408272083
2025-07-29,-0.0124122116022784
2021-06-15,-0.012071193427553006
2025-09-17,-0.011954387464729418
2021-04-06,-0.01109858293002963
2022-08-23,-0.010686897405250856
2023-08-04,-0.010628158825145576
2021-02-22,-0.009936434562688654
2025-04-15,-0.00987752783167342
2022-12-07,-0.009613930906774286
2023-11-06,-0.009485226304430872
2021-04-14,-0.009410039196100338
2025-10-17,-0.008345520999721828
2021-10-26,-0.007722568538116182
2023-06-22,-0.007294885721152819
2021-02-23,-0.006902079777840278
2024-06-13,-0.0066948682376803195
2024-11-27,-0.0063416962910243695
2023-11-08,-0.0053321776119081635
2021-07-06,-0.005291103473749051
2021-08-11,-0.004956392547497028
2024-05-31,-0.004601000202733567
2025-12-26,-0.003095888350110676
2025-01-24,-0.003012934646413883
2022-08-11,-0.0028760260327094986
2024-06-11,-0.002589291021164423
2022-01-07,-0.0021051027594988095
2023-03-28,-0.0020320355482609668
2021-06-03,-0.0019850682934762338
2023-09-06,-0.0018243028909385108
2025-05-22,-0.0017790292505267492
2024-01-24,-0.0009861581538273257
2025-05-29,-0.000900109418373534
2025-07-08,-0.000721998810593418
2024-07-11,-0.0004237997447524638
2021-06-23,-0.0002855077594456638
2025-11-27,0.0
2024-05-27,0.0
2023-07-04,0.0
2025-01-09,0.0
2022-11-24,0.0
2024-12-25,0.0
2021-02-15,0.0
2025-01-20,0.0
2021-05-31,0.0
2026-01-21,0.0
2026-01-01,0.0
2021-04-02,0.0
2025-04-18,0.0
2025-02-17,0.0
2025-06-19,0.0
2023-02-20,0.0
2023-01-02,0.0
2023-01-16,0.0
2024-06-19,0.0
2022-02-21,0.0
2023-11-23,0.0
2025-09-01,0.0
2022-06-20,0.0
2022-05-30,0.0
2024-01-15,0.0
2024-02-19,0.0
2023-09-04,0.0
2023-05-29,0.0
2024-11-28,0.0
2023-04-07,0.0
2024-09-02,0.0
2021-09-06,0.0
2022-09-05,0.0
2024-01-01,0.0
2021-12-24,0.0
2024-07-04,0.0
2021-11-25,0.0
2025-07-04,0.0
2022-12-26,0.0
2021-07-05,0.0
2022-07-04,0.0
2025-01-01,0.0
2025-12-25,0.0
