date,ticker,company_name,market_sector,open,high,low,close,adj_close,volume,run_date
19/01/2026,AON,Aon plc,Financial Services,343.2799988,344.3900146,340.6000061,343.8599854,343.8599854,882900,2026-01-25 21:27:44 UTC
23/01/2026,AON,Aon plc,Financial Services,336.1400146,338.8399963,333.8500061,338.6900024,338.6900024,1053400,2026-01-25 21:27:44 UTC
19/01/2026,AOS,A. O. Smith Corporation,Industrials,71.91999817,72.55000305,71.62999725,72.48000336,72.48000336,1153800,2026-01-25 21:27:44 UTC
23/01/2026,AOS,A. O. Smith Corporation,Industrials,73.05000305,73.19000244,71.98000336,72.45999908,72.45999908,943500,2026-01-25 21:27:44 UTC
19/01/2026,APA,APA Corporation,Energy,26.04000092,26.13999939,25.54000092,25.78000069,25.53715897,3594900,2026-01-25 21:27:44 UTC
23/01/2026,APA,APA Corporation,Energy,26.21999931,26.59000015,25.70000076,25.79999924,25.79999924,6905900,2026-01-25 21:27:44 UTC
19/01/2026,APD,"Air Products and Chemicals, Inc.",Basic Materials,264,267.8500061,264,267.5299988,267.5299988,1459800,2026-01-25 21:27:44 UTC
23/01/2026,APD,"Air Products and Chemicals, Inc.",Basic Materials,264.0700073,264.2099915,259.6000061,261.3500061,261.3500061,1294800,2026-01-25 21:27:44 UTC
19/01/2026,APH,Amphenol Corporation,Technology,155,155,151.6199951,154.3899994,154.3899994,9602100,2026-01-25 21:27:44 UTC
23/01/2026,APH,Amphenol Corporation,Technology,151.25,151.8000031,147.8999939,150.9900055,150.9900055,7333300,2026-01-25 21:27:44 UTC
19/01/2026,APO,"Apollo Global Management, Inc.",Financial Services,143.2299957,146.1999969,143.2299957,143.8800049,143.8800049,2295600,2026-01-25 21:27:44 UTC
23/01/2026,APO,"Apollo Global Management, Inc.",Financial Services,138.9700012,139.6900024,135.7700043,136.3099976,136.3099976,3502800,2026-01-25 21:27:44 UTC
19/01/2026,APP,AppLovin Corporation,Communication Services,615.2650146,615.2650146,559.8200073,568.7600098,568.7600098,8576800,2026-01-25 21:27:44 UTC
23/01/2026,APP,AppLovin Corporation,Communication Services,521.5,535.7000122,509.0400085,524.4099731,524.4099731,4824900,2026-01-25 21:27:44 UTC
19/01/2026,APTV,Aptiv PLC,Consumer Cyclical,82.63999939,83.01000214,77.44999695,78.61000061,78.61000061,4573200,2026-01-25 21:27:44 UTC
