PS C:\Quant\scripts> & "C:\Quant\quant_freshness_audit.ps1"
=== Quant Freshness Audit ===

=== Freshness Report ===

FileName                                                               Cadence LastUpdated         Status
quant_optimised_performance_ensemble_risk.csv                          Daily   22/01/2026 09:52:10 RED
optimiser_performance_report_quant_v1.py                               Daily   22/01/2026 09:55:16 RED
quant_optimiser_performance_timeseries.csv                             Daily   22/01/2026 09:55:26 RED
quant_optimiser_performance_summary.csv                                Daily   22/01/2026 09:55:26 RED
optimiser_quant_v2.py                                                  Daily   22/01/2026 10:08:02 RED
quant_portfolio_weights_ensemble_risk_longshort_v2.csv                 Daily   22/01/2026 10:08:12 RED
quant_portfolio_weights_ensemble_risk_longonly_v2.csv                  Daily   22/01/2026 10:08:14 RED
portfolio_performance_v2.py                                            Daily   22/01/2026 10:12:16 RED
returns_panel_v1.py                                                    Daily   22/01/2026 10:22:00 RED
quant_returns_panel.csv                                                Daily   22/01/2026 10:22:24 RED
quant_portfolio_performance_longonly_v2.csv                            Daily   22/01/2026 10:22:28 RED
quant_portfolio_performance_longshort_v2.csv                           Daily   22/01/2026 10:22:28 RED
quant_portfolio_performance_summary_v2.csv                             Daily   22/01/2026 10:22:28 RED
factor_neutrality_engine_quant_v1.py                                   Daily   22/01/2026 10:59:34 RED
quant_portfolio_weights_ensemble_risk_longshort_v2_trading_neutral.csv Daily   22/01/2026 10:59:48 RED
liquidity_cost_model_quant_v1.py                                       Daily   22/01/2026 14:41:38 RED
market_liquidity_ingestion_quant_v1.py                                 Daily   22/01/2026 14:46:28 RED
quant_market_liquidity_timeseries.csv                                  Daily   22/01/2026 14:47:52 RED
position_sizing_engine_quant_v1.py                                     Daily   22/01/2026 14:50:20 RED
1.7                                                                    Daily   22/01/2026 16:29:40 RED
0.13.2                                                                 Daily   22/01/2026 16:29:40 RED
pip                                                                    Daily   22/01/2026 16:29:40 RED
osqp)                                                                  Daily   22/01/2026 16:29:40 RED
expected_return_ingestion_quant_v1.py                                  Daily   22/01/2026 16:55:22 RED
position_sizing_engine_quant_v1_osqp.py                                Daily   22/01/2026 18:27:26 RED
quant_alpha_engine_v2.py                                               Daily   23/01/2026 06:55:58 RED
quant_portfolio_weights_tradable_v1_osqp.csv                           Daily   23/01/2026 06:59:54 RED
quant_backtest_pnl_v1.csv                                              Daily   23/01/2026 07:23:16 RED
realized_returns_v1.py                                                 Daily   23/01/2026 09:00:20 RED
quant_backtest_v1.py                                                   Daily   23/01/2026 09:02:48 RED
Quant_architecture_v1.txt                                              Daily   23/01/2026 09:19:16 RED
quant_realized_returns_v1.csv                                          Daily   23/01/2026 11:15:32 RED
quant_attribution_ticker_v1.csv                                        Daily   23/01/2026 11:26:08 RED
quant_attribution_daily_v1.csv                                         Daily   23/01/2026 11:26:10 RED
quant_attribution_sector_v1.csv                                        Daily   23/01/2026 11:26:10 RED
quant_attribution_tradable_v1.py                                       Daily   23/01/2026 12:41:00 RED
quant_backtest_pnl_v1.py                                               Daily   23/01/2026 12:41:56 RED
internal_factor_exposure_engine_quant_v1.py                            Daily   23/01/2026 12:42:48 RED
regime_classifier_quant_v1.py                                          Daily   23/01/2026 12:54:22 RED
inspect_csvs_quant_v1.py                                               Daily   23/01/2026 13:03:24 RED
regime_adjustments_quant_v1.py                                         Daily   23/01/2026 13:04:24 RED
regime_portfolio_controls_quant_v1.py                                  Daily   23/01/2026 13:05:52 RED
quant_regime_adjustments_v1.csv                                        Daily   23/01/2026 13:09:22 RED
quant_portfolio_controls_v1.csv                                        Daily   23/01/2026 13:09:32 RED
portfolio_engine_regime_overlay_quant_v1.py                            Daily   23/01/2026 13:11:42 RED
portfolio_engine_quant_v2.py                                           Daily   23/01/2026 13:16:48 RED
quant_portfolio_targets_regime_v1.csv                                  Daily   23/01/2026 13:20:16 RED
risk_model_regime_quant_v1.py                                          Daily   23/01/2026 14:48:34 RED
logging_attribution_suite_v1.py                                        Daily   23/01/2026 15:47:06 RED
attribution_diagnostics_v1.py                                          Daily   23/01/2026 15:56:04 RED
