date,portfolio_type,daily_return,rolling_vol_63,target_ann_vol,leverage_cap,applied_leverage,optimised_daily_return,optimised_cumulative_return
2024-02-21,longonly,-0.0002709129905665,0.0088998649352356,0.15,2.0,1.0617140702687011,-0.00028763213390302497,3.850299567091156
2024-02-22,longonly,0.0267037635530182,0.0092526011431361,0.15,2.0,1.021238425719924,0.027270909451681393,3.877570476542837
2024-02-23,longonly,0.0025762928692983,0.0092522594661059,0.15,2.0,1.0212761390713172,0.0026311064346739334,3.880201582977511
2024-02-26,longonly,0.0093073124756546,0.0092206854042827,0.15,2.0,1.0247732582701372,0.009537884931414862,3.889739467908926
2024-02-27,longonly,0.0112684028185957,0.0092158219076592,0.15,2.0,1.0253140653008488,0.0115536519033819,3.901293119812308
2024-02-28,longonly,0.005788792656546,0.0090359329266144,0.15,2.0,1.0457262024820155,0.006053492161685627,3.9073466119739937
2024-02-29,longonly,0.0129615565433498,0.009064679304615,0.15,2.0,1.0424099416754828,0.013511255400376739,3.9208578673743704
2024-03-01,longonly,0.0209214130949854,0.0091594543912207,0.15,2.0,1.0316238742656565,0.02158302923216108,3.9424408966065316
2024-03-04,longonly,0.0099178339631505,0.0091444949064829,0.15,2.0,1.0333115083843312,0.010248211972368393,3.9526891085789
2024-03-05,longonly,-0.004486643916713,0.0092445054600797,0.15,2.0,1.0221327539947407,-0.004585945702783608,3.9481031628761163
2024-03-06,longonly,0.0177835098612943,0.0093396282096236,0.15,2.0,1.0117224811469763,0.017991976720370388,3.9660951395964865
2024-03-07,longonly,0.0138630442535824,0.009377006533821,0.15,2.0,1.007689585279653,0.013969645314605926,3.9800647849110926
2024-03-08,longonly,-0.0044510031298222,0.0094824267722339,0.15,2.0,0.9964866644580086,-0.004435365262328681,3.975629419648764
2024-03-11,longonly,-0.0034381285294912,0.0092147966697213,0.15,2.0,1.0254281417059707,-0.003525553748942443,3.9721038658998213
2024-03-12,longonly,0.0122583121157884,0.0089312963722771,0.15,2.0,1.0579776363217424,0.012969020077555987,3.9850728859773774
2024-03-13,longonly,0.0088479515994057,0.008880558845545,0.15,2.0,1.0640222073378747,0.009414416991218331,3.994487302968596
2024-03-14,longonly,-0.004372521213001,0.0089648870778062,0.15,2.0,1.0540134798377154,-0.0046086962993794126,3.9898786066692167
2024-03-15,longonly,0.0044135679266009,0.0089369064474497,0.15,2.0,1.0573134988928015,0.004666524947075445,3.994545131616292
