date,market_return,market_level,trend_lookback_days,vol_lookback_days,trend_regime,vol_regime,regime_score
2023-09-18,-0.001455252202394415,1.26996198543285,60,60,up,low,1.0
2023-09-19,-0.002479403496520499,1.2668132372457197,60,60,neutral,low,0.6
2023-09-20,-0.0046950451059601045,1.2608654919560238,60,60,neutral,low,0.6
2023-09-21,-0.017492020323587775,1.2388104071454185,60,60,down,low,0.3
2023-09-22,-0.003318894275891614,1.2346989263762287,60,60,down,low,0.3
2023-09-25,0.0028425901631814084,1.2382086693988366,60,60,down,low,0.3
2023-09-26,-0.013925190819139571,1.2209663774035449,60,60,down,low,0.3
2023-09-27,0.001444854890454357,1.2227304966450168,60,60,down,low,0.3
2023-09-28,0.007356204245926406,1.2317251519160604,60,60,down,low,0.3
2023-09-29,-0.0027453371653011417,1.228343651079069,60,60,down,low,0.3
2023-10-02,-0.01024244521938555,1.2157624085223118,60,60,down,low,0.3
2023-10-03,-0.012896374449488119,1.2000834812603964,60,60,down,low,0.3
2023-10-04,0.00685044851169392,1.2083045913585053,60,60,down,low,0.3
2023-10-05,-0.0032355840523398487,1.2043950202923368,60,60,down,low,0.3
2023-10-06,0.009694110206874511,1.2160705583516618,60,60,down,low,0.3
2023-10-09,0.007606034382716157,1.2253200328302933,60,60,down,low,0.3
2023-10-10,0.008104494301141065,1.2352506320534404,60,60,down,low,0.3
2023-10-11,0.0018077870367860256,1.2374837021332485,60,60,down,low,0.3
2023-10-12,-0.013248569913149542,1.221088812789153,60,60,down,low,0.3
2023-10-13,-0.002939090393799547,1.2174999223895082,60,60,down,low,0.3
2023-10-16,0.012576244833735283,1.2328114994985322,60,60,down,low,0.3
2023-10-17,0.00477297551509031,1.2386956786003605,60,60,down,low,0.3
2023-10-18,-0.01604888692031021,1.2188159917258263,60,60,down,low,0.3
2023-10-19,-0.011535725053599783,1.2047560655543466,60,60,down,low,0.3
2023-10-20,-0.012020800474254283,1.1902739332701702,60,60,down,low,0.3
2023-10-23,-0.0048072833433395615,1.1845519492167491,60,60,down,low,0.3
2023-10-24,0.00801480892406086,1.194045906750345,60,60,down,low,0.3
2023-10-25,-0.012656509191016352,1.178933453757064,60,60,down,low,0.3
2023-10-26,-0.0021661087323095116,1.176379755708069,60,60,down,low,0.3
2023-10-27,-0.010603658343465085,1.1639058266963718,60,60,down,low,0.3
2023-10-30,0.00742680399092149,1.1725499271351372,60,60,down,low,0.3
2023-10-31,0.009266448244813192,1.1834153003493946,60,60,down,low,0.3
2023-11-01,0.004589658484222792,1.1888467724230023,60,60,down,low,0.3
2023-11-02,0.023004261531782057,1.216195314497036,60,60,down,high,0.0
2023-11-03,0.016607685424857785,1.2363935036953888,60,60,down,high,0.0
2023-11-06,-0.0050442803640329045,1.2301567882224802,60,60,down,high,0.0
2023-11-07,0.0001112761465492792,1.230293675329525,60,60,down,high,0.0
2023-11-08,-0.0018415485395325809,1.2280280298085258,60,60,down,high,0.0
2023-11-09,-0.008491982820716533,1.2175996368760333,60,60,down,high,0.0
2023-11-10,0.011901256600536635,1.232090602591215,60,60,down,high,0.0
2023-11-13,-0.0012679927941258414,1.2305283205854192,60,60,down,high,0.0
2023-11-14,0.028059505315932973,1.2650563365382919,60,60,neutral,high,0.4
2023-11-15,0.003893559824655723,1.2699819090661635,60,60,neutral,high,0.4
2023-11-16,-0.0031382243724036207,1.2659964208866203,60,60,neutral,high,0.4
2023-11-17,0.004811730575084789,1.2720880545729485,60,60,neutral,high,0.4
2023-11-20,0.0050232605597683505,1.2784780843260373,60,60,neutral,high,0.4
2023-11-21,-0.0019781757498865916,1.275949029982862,60,60,neutral,high,0.4
2023-11-22,0.004813433781997774,1.2820907261478889,60,60,neutral,high,0.4
2023-11-23,0.0,1.2820907261478889,60,60,neutral,high,0.4
2023-11-24,0.0034884867960406287,1.2865632827173819,60,60,neutral,high,0.4
2023-11-27,-0.0021463743306762567,1.2838018363125667,60,60,neutral,high,0.4
2023-11-28,-0.00038393730333523095,1.2833089368975161,60,60,neutral,high,0.4
2023-11-29,0.0038553937273940186,1.2882565981231395,60,60,up,high,0.7
2023-11-30,0.007201546113608905,1.2975340374206843,60,60,up,high,0.7
2023-12-01,0.014562296428017641,1.3164291126990468,60,60,up,high,0.7
2023-12-04,-0.0003652274671881926,1.315948316628483,60,60,up,high,0.7
2023-12-05,-0.007974582833647385,1.3054541777727304,60,60,up,high,0.7
2023-12-06,-0.00022961396250583796,1.3051544272661022,60,60,up,high,0.7
2023-12-07,0.005035928551802192,1.3117270917108828,60,60,up,high,0.7
2023-12-08,0.003925292329719464,1.3168760040026608,60,60,up,high,0.7
2023-12-11,0.00851823377696097,1.3280934616600255,60,60,up,high,0.7
2023-12-12,0.0021985383167803414,1.3310133260237507,60,60,up,high,0.7
2023-12-13,0.01989578039447882,1.357494874860444,60,60,up,high,0.7
2023-12-14,0.01212264890700279,1.3739513086214328,60,60,up,high,0.7
2023-12-15,-0.0060749641778590985,1.365604603639435,60,60,up,high,0.7
2023-12-18,0.0015337285823683773,1.3676990704522507,60,60,up,high,0.7
2023-12-19,0.007891879592125423,1.3784927868345218,60,60,up,high,0.7
2023-12-20,-0.016517837565893007,1.355723066895834,60,60,up,high,0.7
2023-12-21,0.01158150379289027,1.3714243787371971,60,60,up,high,0.7
2023-12-22,0.0028954654408533034,1.3753952906305744,60,60,up,high,0.7
2023-12-25,0.0,1.3753952906305744,60,60,up,high,0.7
2023-12-26,0.0057010323382268285,1.383236463660304,60,60,up,high,0.7
2023-12-27,0.001853396081100808,1.3858001487012879,60,60,up,high,0.7
2023-12-28,0.0012255822171560098,1.3874985607200685,60,60,up,high,0.7
2023-12-29,-0.003979452470236748,1.381977076145161,60,60,up,high,0.7
2024-01-01,0.0,1.381977076145161,60,60,up,high,0.7
2024-01-02,-0.0017839167830272962,1.3795117440452669,60,60,up,high,0.7
2024-01-03,-0.01314573896071553,1.3613770427648064,60,60,up,high,0.7
2024-01-04,-0.0007674849347427334,1.3603322063939798,60,60,up,high,0.7
2024-01-05,0.002221237283366565,1.3633538270085863,60,60,up,high,0.7
2024-01-08,0.011740200958392354,1.3793598749150606,60,60,up,high,0.7
2024-01-09,-0.0045505578157932994,1.3730830180554743,60,60,up,high,0.7
2024-01-10,0.001901841653488696,1.37569440453291,60,60,up,high,0.7
2024-01-11,-0.0025624190862636566,1.3721692989338687,60,60,up,high,0.7
2024-01-12,-0.0010218800094178387,1.3707671065577514,60,60,up,high,0.7
2024-01-15,0.0,1.3707671065577514,60,60,up,high,0.7
2024-01-16,-0.006482728173420892,1.3618807960168708,60,60,up,high,0.7
2024-01-17,-0.0072927348601791175,1.35194896046035,60,60,up,low,1.0
2024-01-18,0.005479820301264702,1.3593573978201543,60,60,up,low,1.0
2024-01-19,0.009117562021576008,1.3717514232042678,60,60,up,low,1.0
2024-01-22,0.004778546521585176,1.3783064011961002,60,60,up,low,1.0
2024-01-23,0.0008856650832860022,1.3795271190497091,60,60,up,low,1.0
2024-01-24,-0.005064906765262831,1.3725399428115708,60,60,up,low,1.0
2024-01-25,0.008673839218148469,1.384445133596005,60,60,up,low,1.0
2024-01-26,0.0006355828200204181,1.3853250631381795,60,60,up,low,1.0
2024-01-29,0.0066580194368023255,1.3945485843348429,60,60,up,low,1.0
2024-01-30,0.00028125409501886207,1.3949408068348896,60,60,up,low,1.0
2024-01-31,-0.01247798137018718,1.37753476143469,60,60,up,low,1.0
2024-02-01,0.011701317758241708,1.3936537334012609,60,60,up,low,1.0
2024-02-02,-0.00024537699990053076,1.3933117628292586,60,60,up,low,1.0
2024-02-05,-0.0091659125938091,1.3805407889952397,60,60,up,low,1.0
2024-02-06,0.00661541011260659,1.3896736324916246,60,60,up,low,1.0
2024-02-07,0.004747454429691372,1.396271044734022,60,60,up,low,1.0
2024-02-08,0.004121547251601113,1.402025841820936,60,60,up,low,1.0
2024-02-09,0.002706733068212719,1.4058207515294814,60,60,up,low,1.0
2024-02-12,0.0065428310438673636,1.4150187991847014,60,60,up,low,1.0
2024-02-13,-0.016594774870700147,1.3915368807744228,60,60,up,low,1.0
2024-02-14,0.0109826430593002,1.4068196336398204,60,60,up,low,1.0
2024-02-15,0.011710573013112107,1.4232942976758394,60,60,up,low,1.0
2024-02-16,-0.004246591231831888,1.4172501485910127,60,60,up,low,1.0
2024-02-19,0.0,1.4172501485910127,60,60,up,low,1.0
2024-02-20,-0.0038022008833610813,1.4118614788240964,60,60,up,low,1.0
2024-02-21,0.0020335220554959254,1.4147325302805902,60,60,up,low,1.0
2024-02-22,0.012215038915642028,1.4320135431931924,60,60,up,low,1.0
2024-02-23,0.002106991559037711,1.4350307836411282,60,60,up,low,1.0
2024-02-26,-0.0029634043926261514,1.4307782071133324,60,60,up,low,1.0
2024-02-27,0.0047694271914839595,1.4376021995993213,60,60,up,low,1.0
2024-02-28,0.0004091203415118981,1.4381903519021797,60,60,up,low,1.0
2024-02-29,0.005719999261924384,1.4464167996535668,60,60,up,low,1.0
2024-03-01,0.005918537338650976,1.4549774714895685,60,60,up,low,1.0
2024-03-04,0.0032976980531442108,1.4597755478646683,60,60,up,low,1.0
2024-03-05,-0.006623843718607479,1.4501062227713681,60,60,up,low,1.0
2024-03-06,0.007075879110303567,1.4603669991007973,60,60,up,low,1.0
2024-03-07,0.007708567479211603,1.4716243366577797,60,60,up,low,1.0
2024-03-08,-0.001739575577453445,1.4690643349025438,60,60,up,low,1.0
2024-03-11,0.0015456493255289877,1.4713349932009447,60,60,up,low,1.0
2024-03-12,0.0033771503111481084,1.4763039126310364,60,60,up,low,1.0
2024-03-13,0.0011563298335786145,1.4780110068886405,60,60,up,low,1.0
2024-03-14,-0.008978146949879477,1.464741206875255,60,60,up,low,1.0
2024-03-15,-0.0020684220747500363,1.4617115038291584,60,60,up,low,1.0
2024-03-18,0.0028536081976363492,1.4658826557590645,60,60,up,low,1.0
2024-03-19,0.0052027266823855695,1.4735092425654284,60,60,up,low,1.0
2024-03-20,0.009355585484515245,1.4872947842464725,60,60,up,low,1.0
2024-03-21,0.007048117631034204,1.4977774128378654,60,60,up,low,1.0
2024-03-22,-0.006235435122036507,1.4884381189528633,60,60,up,low,1.0
2024-03-25,-0.001196680658608518,1.4866569338443767,60,60,up,low,1.0
2024-03-26,-0.0014827026296380815,1.484452663699196,60,60,up,low,1.0
2024-03-27,0.014259264249196208,1.5056198664963059,60,60,up,low,1.0
2024-03-28,0.003401917348099636,1.5107418608397831,60,60,up,low,1.0
2024-03-29,0.0,1.5107418608397831,60,60,up,low,1.0
2024-04-01,-0.0051884515285970725,1.5029034499225935,60,60,up,low,1.0
2024-04-02,-0.008558528191499165,1.4900408083773296,60,60,up,low,1.0
2024-04-03,0.0013780291445008117,1.4920941280377693,60,60,up,low,1.0
2024-04-04,-0.010934587557683584,1.4757786941504347,60,60,up,low,1.0
2024-04-05,0.007040050583855969,1.4861682508078307,60,60,up,low,1.0
2024-04-08,0.002725646410245256,1.4902190199656653,60,60,up,low,1.0
2024-04-09,0.002958668543945931,1.4946280841036277,60,60,up,low,1.0
2024-04-10,-0.01541511421298605,1.4715882214812337,60,60,up,low,1.0
2024-04-11,6.384813716025851e-05,1.471682179647842,60,60,up,low,1.0
2024-04-12,-0.015620436715690285,1.448693861295044,60,60,up,low,1.0
2024-04-15,-0.01000172408002317,1.4342044250179475,60,60,up,low,1.0
2024-04-16,-0.0048621669927834624,1.4272310836017215,60,60,up,low,1.0
2024-04-17,-0.0027401194669179757,1.423320299925754,60,60,up,low,1.0
2024-04-18,-0.000828228567033231,1.422141465393317,60,60,up,low,1.0
2024-04-19,0.00126739845509266,1.4239438852894797,60,60,up,low,1.0
2024-04-22,0.008744177501336445,1.4363951033743934,60,60,up,low,1.0
2024-04-23,0.010006840920688563,1.450768880673117,60,60,up,low,1.0
2024-04-24,0.0015773229671843846,1.453057211748679,60,60,up,low,1.0
2024-04-25,-0.0023726376599131857,1.4496096334860757,60,60,up,low,1.0
2024-04-26,0.0024589800110768733,1.4531741945986825,60,60,up,low,1.0
2024-04-29,0.006340277011659291,1.4623877215386332,60,60,up,low,1.0
2024-04-30,-0.015489895311218157,1.4397354888275888,60,60,up,low,1.0
2024-05-01,-0.003561849328968804,1.4346073679428157,60,60,up,low,1.0
2024-05-02,0.00812180585353552,1.446258970461299,60,60,up,low,1.0
2024-05-03,0.007354603776538027,1.4568956321473054,60,60,up,low,1.0
2024-05-06,0.008832087471004706,1.469763061806555,60,60,up,low,1.0
2024-05-07,0.0022547120955836073,1.473076954359652,60,60,up,low,1.0
2024-05-08,-0.001066577982244952,1.4715058029139796,60,60,up,low,1.0
2024-05-09,0.008290257353391776,1.483704964717146,60,60,up,low,1.0
2024-05-10,0.0016128003210891411,1.4860978845606434,60,60,up,low,1.0
2024-05-13,-0.0005523146550408738,1.4852770909201753,60,60,up,low,1.0
2024-05-14,0.004223775950122922,1.4915505685760726,60,60,up,low,1.0
2024-05-15,0.009144522768204332,1.5051900867103445,60,60,up,low,1.0
2024-05-16,-0.0018558693955924503,1.5023966504938695,60,60,up,low,1.0
2024-05-17,0.001933399585265074,1.505301383554838,60,60,up,low,1.0
2024-05-20,0.00016437662263657878,1.505548819912317,60,60,up,low,1.0
2024-05-21,-0.0007923587158365635,1.504355885182742,60,60,up,low,1.0
2024-05-22,-0.00380078454757186,1.4986381525802908,60,60,up,low,1.0
2024-05-23,-0.013770415366649842,1.4780012827349513,60,60,up,low,1.0
2024-05-24,0.006810782815432615,1.48806762847259,60,60,up,low,1.0
2024-05-27,0.0,1.48806762847259,60,60,up,low,1.0
2024-05-28,-0.007088686843114608,1.4775191830529717,60,60,up,low,1.0
2024-05-29,-0.010962752132702744,1.4613215064778486,60,60,neutral,low,0.6
2024-05-30,0.0034929955145489183,1.4664258959452896,60,60,neutral,low,0.6
2024-05-31,0.011646883583551931,1.4835051876392702,60,60,up,low,1.0
2024-06-03,-0.00468798150648765,1.4765505427548389,60,60,neutral,low,0.6
2024-06-04,-0.0025097644388109557,1.4728447487105258,60,60,neutral,low,0.6
2024-06-05,0.006940668478855355,1.4830672758321486,60,60,neutral,low,0.6
2024-06-06,-0.001979141389961017,1.4801320760024523,60,60,up,low,1.0
2024-06-07,-0.0035591933125590507,1.4748639998158402,60,60,up,low,1.0
2024-06-10,0.003666338612902674,1.4802713506471452,60,60,up,low,1.0
2024-06-11,-0.003554809006050166,1.4750092687184666,60,60,neutral,low,0.6
2024-06-12,0.005881916610866543,1.4836851502373238,60,60,neutral,low,0.6
2024-06-13,-0.0031570085647646307,1.4790011435106105,60,60,down,low,0.3
2024-06-14,-0.006244208601351394,1.469765951848893,60,60,down,low,0.3
2024-06-17,0.0067480360086111645,1.4796839854162,60,60,neutral,low,0.6
2024-06-18,0.0024599032842253996,1.483323864911541,60,60,neutral,low,0.6
2024-06-19,0.0,1.483323864911541,60,60,down,low,0.3
2024-06-20,0.0010015806644711705,1.4848095334137852,60,60,down,low,0.3
2024-06-21,0.0015108914366626979,1.487052919422895,60,60,down,low,0.3
2024-06-24,0.0039739387069196675,1.4929623765786277,60,60,neutral,low,0.6
2024-06-25,-0.00554154696457201,1.4846890554524783,60,60,neutral,low,0.6
2024-06-26,-0.003635037246895431,1.4792921554358507,60,60,neutral,low,0.6
2024-06-27,0.0018835618683412864,1.482078493731966,60,60,neutral,low,0.6
2024-06-28,-1.4346892114109705e-05,1.4820572305117117,60,60,neutral,low,0.6
2024-07-01,-0.006872108452034036,1.471872372491514,60,60,down,low,0.3
2024-07-02,0.004208283866243978,1.4780664292498402,60,60,neutral,low,0.6
2024-07-03,0.0010714843853596439,1.4796501543493057,60,60,neutral,low,0.6
2024-07-04,0.0,1.4796501543493057,60,60,neutral,low,0.6
2024-07-05,-0.00024388897698292075,1.4792892839868688,60,60,up,low,1.0
2024-07-08,0.0016510383780489653,1.4817316473669677,60,60,up,low,1.0
2024-07-09,-0.0019222738890380486,1.4788833533106729,60,60,up,low,1.0
2024-07-10,0.00846960123583928,1.491408905587535,60,60,up,low,1.0
2024-07-11,0.010614962062865168,1.507240154540566,60,60,up,low,1.0
2024-07-12,0.008402992149243057,1.5199054817261943,60,60,up,low,1.0
2024-07-15,0.0015043397941522524,1.5221919360257052,60,60,up,low,1.0
2024-07-16,0.016665067935717277,1.5475593680507744,60,60,up,low,1.0
2024-07-17,-0.005634820772584027,1.5388391483768749,60,60,up,low,1.0
2024-07-18,-0.008541377145672832,1.525695342844062,60,60,up,low,1.0
2024-07-19,-0.005550971788622932,1.5172262510379013,60,60,up,low,1.0
2024-07-22,0.008949973099190704,1.5308053851700765,60,60,up,low,1.0
2024-07-23,-0.0033031034886534237,1.525748976561872,60,60,up,low,1.0
2024-07-24,-0.013845202352767054,1.5046246732418456,60,60,up,low,1.0
2024-07-25,5.372868260100426e-05,1.504705514743348,60,60,up,low,1.0
2024-07-26,0.01448887191731458,1.5265070002197412,60,60,up,low,1.0
2024-07-29,0.0010630148071462575,1.528129699764187,60,60,up,low,1.0
2024-07-30,0.002817957357670844,1.5324359040951128,60,60,up,low,1.0
2024-07-31,0.006654961139947932,1.542634205486327,60,60,up,low,1.0
2024-08-01,-0.012024314340370589,1.5240850868873514,60,60,up,low,1.0
2024-08-02,-0.019135275932503536,1.4949212982051483,60,60,neutral,low,0.6
2024-08-05,-0.023469461628116174,1.459836300159869,60,60,down,low,0.3
2024-08-06,0.01156089427255765,1.4767133132812589,60,60,neutral,low,0.6
2024-08-07,-0.00763559915917036,1.4654377223480328,60,60,down,low,0.3
2024-08-08,0.020915639528361514,1.4960882894999274,60,60,neutral,low,0.6
2024-08-09,0.0023605647308114447,1.4996199027503008,60,60,neutral,low,0.6
2024-08-12,-0.004529210108035927,1.4928278091285523,60,60,neutral,low,0.6
2024-08-13,0.012404290192802854,1.5113452784808687,60,60,neutral,high,0.4
2024-08-14,0.002552622658741573,1.515203172683901,60,60,up,high,0.7
2024-08-15,0.014310428224649122,1.5368863789323546,60,60,up,high,0.7
