date,portfolio_type,gross_turnover,cost_per_unit,daily_return,cost_adjusted_return
2023-12-15,longonly,0.392156862745096,0.001,-0.0016652539619587,-0.002057410824703796
2023-12-18,longonly,0.29411764705882204,0.001,0.001773688638453,0.0014795709913941778
2023-12-19,longonly,0.29411764705882204,0.001,0.0120281298427471,0.011734012195688278
2023-12-20,longonly,0.2549019607843124,0.001,-0.014754314695212,-0.015009216655996312
2023-12-21,longonly,0.2549019607843124,0.001,0.0163463257705438,0.01609142380975949
2023-12-22,longonly,0.196078431372548,0.001,0.0054420394479337,0.005245961016561152
2023-12-25,longonly,0.1372549019607836,0.001,0.0,-0.0001372549019607836
2023-12-26,longonly,0.2549019607843124,0.001,0.0085112550676879,0.008256353106903588
2023-12-27,longonly,0.2352941176470576,0.001,0.0068209334239651,0.006585639306318043
2023-12-28,longonly,0.2549019607843124,0.001,0.0014110536054343,0.0011561516446499875
2023-12-29,longonly,0.2745098039215672,0.001,-0.0054648162901477,-0.0057393260940692675
2024-01-01,longonly,0.3725490196078412,0.001,0.0,-0.0003725490196078412
2024-01-02,longonly,0.5490196078431344,0.001,0.0014765455333906,0.0009275259255474656
2024-01-03,longonly,0.3333333333333316,0.001,-0.0094024948614827,-0.009735828194816032
2024-01-04,longonly,0.098039215686274,0.001,0.0014497470280487,0.001351707812362426
2024-01-05,longonly,0.2549019607843124,0.001,0.0084345737921295,0.008179671831345188
2024-01-08,longonly,0.2352941176470576,0.001,0.0174836057657255,0.01724831164807844
2024-01-09,longonly,0.2745098039215672,0.001,0.0002941390670525,1.96292631309328e-05
2024-01-10,longonly,0.3529411764705864,0.001,0.0067364863097473,0.0063835451332767135
2024-01-11,longonly,0.3725490196078412,0.001,0.0028450826320026,0.002472533612394759
2024-01-12,longonly,0.392156862745096,0.001,0.0042598366255332,0.003867679762788104
2024-01-15,longonly,0.1176470588235288,0.001,0.0,-0.0001176470588235288
2024-01-16,longonly,0.3333333333333316,0.001,-9.2647529659698e-05,-0.0004259808629930296
2024-01-17,longonly,0.2549019607843124,0.001,-0.0043052191604519,-0.004560121121236212
2024-01-18,longonly,0.29411764705882204,0.001,0.0137709289179986,0.01347681127093978
2024-01-19,longonly,0.2745098039215672,0.001,0.0187134429445896,0.018438933140668034
2024-01-22,longonly,0.2156862745098028,0.001,0.0102880987428832,0.010072412468373397
2024-01-23,longonly,0.3333333333333316,0.001,0.0031109921043415,0.0027776587710081685
2024-01-24,longonly,0.2745098039215672,0.001,0.0035599200307453,0.0032854102268237324
2024-01-25,longonly,0.29411764705882204,0.001,0.0154514096014674,0.015157291954408578
2024-01-26,longonly,0.2745098039215672,0.001,0.0025509707950415,0.0022764609911199328
