week_start,date,strategy,side,rank,ticker,weight,expected_return,realized_weekly_return,portfolio_weekly_return,regime_label
2025-02-03 00:00:00+00:00,2025-02-03 00:00:00+00:00,long_short,short,9,ADI,-0.1,,-0.03152575720903794,0.07199935925139592,calm_trending_down
2025-02-03 00:00:00+00:00,2025-02-03 00:00:00+00:00,long_short,short,10,ADM,-0.1,,-0.10677339975756606,0.07199935925139592,normal
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,1,ABNB,0.1,,0.19588089552748356,0.11284380807768643,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,2,ABNB,0.1,,0.19588089552748356,0.11284380807768643,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,3,ABT,0.1,,0.011931457338995699,0.11284380807768643,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,4,ABT,0.1,,0.011931457338995699,0.11284380807768643,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,5,AJG,0.1,,-0.0025749592245261077,0.11284380807768643,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,6,AJG,0.1,,-0.0025749592245261077,0.11284380807768643,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,7,AON,0.1,,0.001241831923165737,0.11284380807768643,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,8,AON,0.1,,0.001241831923165737,0.11284380807768643,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,9,APP,0.1,,0.3577398148233133,0.11284380807768643,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_only,long,10,APP,0.1,,0.3577398148233133,0.11284380807768643,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,1,ABNB,0.1,,0.19588089552748356,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,2,ABNB,0.1,,0.19588089552748356,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,3,ABT,0.1,,0.011931457338995699,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,4,ABT,0.1,,0.011931457338995699,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,5,AJG,0.1,,-0.0025749592245261077,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,6,AJG,0.1,,-0.0025749592245261077,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,7,AON,0.1,,0.001241831923165737,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,8,AON,0.1,,0.001241831923165737,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,9,APP,0.1,,0.3577398148233133,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,long,10,APP,0.1,,0.3577398148233133,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,1,A,-0.1,,-0.0725845882349605,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,2,A,-0.1,,-0.0725845882349605,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,3,ACGL,-0.1,,-0.05668452461773066,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,4,ACGL,-0.1,,-0.05668452461773066,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,5,ADM,-0.1,,0.007430073537128878,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,6,ADM,-0.1,,0.007430073537128878,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,7,AES,-0.1,,-0.06054866680477111,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,8,AES,-0.1,,-0.06054866680477111,0.139395031086493,calm_trending_down
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,9,ALB,-0.1,,0.04963159107630055,0.139395031086493,calm_trending_up
2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00,long_short,short,10,ALB,-0.1,,0.04963159107630055,0.139395031086493,calm_trending_down
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,1,ABBV,0.1,,0.04775240808333692,0.007020237547854113,normal
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,2,ABBV,0.1,,0.04775240808333692,0.007020237547854113,calm_trending_up
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,3,ABBV,0.1,,0.04775240808333692,0.007020237547854113,calm_trending_down
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,4,ABNB,0.1,,-0.09509348915157945,0.007020237547854113,normal
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,5,ABNB,0.1,,-0.09509348915157945,0.007020237547854113,calm_trending_up
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,6,ABNB,0.1,,-0.09509348915157945,0.007020237547854113,calm_trending_down
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,7,ABT,0.1,,0.03299898582384775,0.007020237547854113,normal
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,8,ABT,0.1,,0.03299898582384775,0.007020237547854113,calm_trending_up
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,9,ABT,0.1,,0.03299898582384775,0.007020237547854113,calm_trending_down
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_only,long,10,ADI,0.1,,0.11322866121172548,0.007020237547854113,normal
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_short,long,1,ABBV,0.1,,0.04775240808333692,0.026359759060907303,normal
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_short,long,2,ABBV,0.1,,0.04775240808333692,0.026359759060907303,calm_trending_up
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_short,long,3,ABBV,0.1,,0.04775240808333692,0.026359759060907303,calm_trending_down
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_short,long,4,ABNB,0.1,,-0.09509348915157945,0.026359759060907303,normal
2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00:00,long_short,long,5,ABNB,0.1,,-0.09509348915157945,0.026359759060907303,calm_trending_up
