week_start,lo_weekly_return,ls_weekly_return,spread_weekly_return,lo_cum_return,ls_cum_return,spread_cum_return,lo_drawdown,ls_drawdown,spread_drawdown
2021-08-23,-0.0050612137895741,-0.0186112610212406,-0.013550047231666501,-0.0108078110149142,-0.098904033937344,-0.12629453596073992,-1.066504392813779,-2.2587744561816163,2.2155253126242354
2021-08-30,0.0049630128092323,-0.0092935769969447,-0.014256589806177,-0.0058984375101885,-0.1072784386795836,-0.13875059637296328,-1.0362952317193366,-2.365357437235104,2.5326631622263096
2021-09-06,-0.0293608962332405,-0.0126979896494363,0.0166629065838042,-0.0350861503317542,-0.1186142078250589,-0.12439967801496887,-1.2158978465450896,-2.509630386208404,2.1672812326875706
2021-09-13,-0.0378323839617154,-0.0013812605618776,0.0364511233998378,-0.0715911415823802,-0.1198316312595894,-0.0924830626293549,-1.4405263374064707,-2.525124815108186,1.354667417806164
2021-09-20,0.0321162180725738,0.0043842535855924,-0.027731964486981404,-0.0417741602249306,-0.1159727499330142,-0.11765029010785177,-1.2570516043656572,-2.4760119422560405,1.995438266600728
2021-09-27,0.0183953196361838,0.0183736906226928,-2.162901349099869e-05,-0.0241472896186174,-0.0997299067382535,-0.11766937446163084,-1.1485870572652093,-2.269285529840135,1.9959241642857295
2021-10-04,0.0304011864272997,0.0093392838467761,-0.021061902580523602,0.0055197905552726,-0.0913220287985185,-0.13625293614053247,-0.966034720737523,-2.162276527680162,2.469071419015718
2021-10-11,0.0120200064065195,-0.0215303120992439,-0.0335503185057634,0.0176061448796291,-0.1108861491161943,-0.1652319252414356,-0.8916629858353926,-2.411273600227831,3.206891723586794
2021-10-18,0.022846937559861,-0.0031996108778839,-0.0260465484377449,0.0408553289322248,-0.1137309674651595,-0.18697475233491756,-0.7486022988285577,-2.447480259628829,3.760475537448995
2021-10-25,0.0256460470179101,0.014424677764472,-0.011221369253438099,0.0675491536368628,-0.100946822258214,-0.19609800885133544,-0.5843454848067695,-2.284773494394014,3.9927584469109303
2021-11-01,0.0217350953231458,-0.0112986984866607,-0.033033793809806505,0.0907524362533038,-0.1111049530369927,-0.22265394147023332,-0.4415672460345063,-2.414058368203907,4.668886458996541
2021-11-08,-0.0189969606056661,-0.0095918056369927,0.0094051549686734,0.0700314551912655,-0.1196310615591474,-0.2153428813254734,-0.5690709803369521,-2.5225721182610568,4.482743022316892
2021-11-15,0.0228837065751961,0.0306596947730681,0.007775988197872001,0.0945177410380926,-0.0926392186188609,-0.20924139683128395,-0.4183979559603515,-2.17904070638737,4.327396017900569
2021-11-22,0.0242720669598503,0.0071944057857861,-0.017077661174064198,0.1210839489373134,-0.0861112969634969,-0.2227457043266755,-0.254926414566424,-2.095958341547402,4.6712227895860154
2021-11-29,-0.063200892766132,-0.0035331736077495,0.0596677191583825,0.0502304424986943,-0.0893402244094859,-0.17636871329779313,-0.6909138145982271,-2.137053646036697,3.490440205111609
